org	chain	class	vsim_lo	vsim_hi	n	co_spec	sameV	crossV
human	TRA	MHCI	0.0	0.3	11723	0.1426	0.5997	0.1663
human	TRA	MHCI	0.3	0.5	10396	0.1771	0.5997	0.1663
human	TRA	MHCI	0.5	0.7	1523	0.2705	0.5997	0.1663
human	TRA	MHCI	0.7	0.9	257	0.1946	0.5997	0.1663
human	TRA	MHCI	0.9	1.0	0	0.0000	0.5997	0.1663
human	TRA	MHCII	0.0	0.3	600	0.0950	0.9810	0.1476
human	TRA	MHCII	0.3	0.5	297	0.1684	0.9810	0.1476
human	TRA	MHCII	0.5	0.7	54	0.5926	0.9810	0.1476
human	TRA	MHCII	0.7	0.9	4	0.5000	0.9810	0.1476
human	TRA	MHCII	0.9	1.0	0	0.0000	0.9810	0.1476
human	TRB	MHCI	0.0	0.3	7853	0.0642	0.6368	0.0870
human	TRB	MHCI	0.3	0.5	6887	0.1051	0.6368	0.0870
human	TRB	MHCI	0.5	0.7	1799	0.1112	0.6368	0.0870
human	TRB	MHCI	0.7	0.9	380	0.1026	0.6368	0.0870
human	TRB	MHCI	0.9	1.0	76	0.1447	0.6368	0.0870
human	TRB	MHCII	0.0	0.3	936	0.7927	0.9750	0.7633
human	TRB	MHCII	0.3	0.5	773	0.6624	0.9750	0.7633
human	TRB	MHCII	0.5	0.7	341	0.8680	0.9750	0.7633
human	TRB	MHCII	0.7	0.9	125	0.8880	0.9750	0.7633
human	TRB	MHCII	0.9	1.0	22	0.7273	0.9750	0.7633
mouse	TRA	MHCI	0.0	0.3	8736	0.2985	0.7625	0.2988
mouse	TRA	MHCI	0.3	0.5	21	0.0952	0.7625	0.2988
mouse	TRA	MHCI	0.5	0.7	15	0.7333	0.7625	0.2988
mouse	TRA	MHCI	0.7	0.9	0	0.0000	0.7625	0.2988
mouse	TRA	MHCI	0.9	1.0	0	0.0000	0.7625	0.2988
mouse	TRA	MHCII	0.0	0.3	7002	0.4777	0.4696	0.4771
mouse	TRA	MHCII	0.3	0.5	28	0.4643	0.4696	0.4771
mouse	TRA	MHCII	0.5	0.7	22	0.3182	0.4696	0.4771
mouse	TRA	MHCII	0.7	0.9	1	0.0000	0.4696	0.4771
mouse	TRA	MHCII	0.9	1.0	0	0.0000	0.4696	0.4771
mouse	TRB	MHCI	0.0	0.3	12968	0.4165	0.7710	0.4077
mouse	TRB	MHCI	0.3	0.5	1040	0.3019	0.7710	0.4077
mouse	TRB	MHCI	0.5	0.7	219	0.3881	0.7710	0.4077
mouse	TRB	MHCI	0.7	0.9	0	0.0000	0.7710	0.4077
mouse	TRB	MHCI	0.9	1.0	0	0.0000	0.7710	0.4077
mouse	TRB	MHCII	0.0	0.3	2472	0.3273	0.8416	0.3256
mouse	TRB	MHCII	0.3	0.5	234	0.2991	0.8416	0.3256
mouse	TRB	MHCII	0.5	0.7	9	0.5556	0.8416	0.3256
mouse	TRB	MHCII	0.7	0.9	0	0.0000	0.8416	0.3256
mouse	TRB	MHCII	0.9	1.0	0	0.0000	0.8416	0.3256
